State,Period,Visitor Arrival 
Australian Capital Territory,Jul 2014,6.39
Australian Capital Territory,Aug 2014,5.00
Australian Capital Territory,Sep 2014,5.03
Australian Capital Territory,Oct 2014,6.52
Australian Capital Territory,Nov 2014,6.39
Australian Capital Territory,Dec 2014,9.04
Australian Capital Territory,Jan 2015,5.98
Australian Capital Territory,Feb 2015,9.27
Australian Capital Territory,Mar 2015,6.52
Australian Capital Territory,Apr 2015,4.80
Australian Capital Territory,May 2015,4.26
Australian Capital Territory,Jun 2015,4.91
Australian Capital Territory,Jul 2015,7.90
Australian Capital Territory,Aug 2015,4.74
Australian Capital Territory,Sep 2015,4.98
Australian Capital Territory,Oct 2015,6.10
Australian Capital Territory,Nov 2015,6.32
Australian Capital Territory,Dec 2015,7.75
Australian Capital Territory,Jan 2016,5.18
Australian Capital Territory,Feb 2016,8.98
Australian Capital Territory,Mar 2016,7.59
Australian Capital Territory,Apr 2016,5.72
Australian Capital Territory,May 2016,4.05
Australian Capital Territory,Jun 2016,4.51
Australian Capital Territory,Jul 2016,8.79
Australian Capital Territory,Aug 2016,4.21
Australian Capital Territory,Sep 2016,5.95
Australian Capital Territory,Oct 2016,6.77
Australian Capital Territory,Nov 2016,6.69
Australian Capital Territory,Dec 2016,9.81
Australian Capital Territory,Jan 2017,6.62
Australian Capital Territory,Feb 2017,10.34
Australian Capital Territory,Mar 2017,6.86
Australian Capital Territory,Apr 2017,7.17
Australian Capital Territory,May 2017,4.39
Australian Capital Territory,Jun 2017,6.61
Australian Capital Territory,Jul 2017,10.62
Australian Capital Territory,Aug 2017,7.43
Australian Capital Territory,Sep 2017,7.46
Australian Capital Territory,Oct 2017,7.33
Australian Capital Territory,Nov 2017,8.17
Australian Capital Territory,Dec 2017,10.53
Australian Capital Territory,Jan 2018,8.26
Australian Capital Territory,Feb 2018,13.63
Australian Capital Territory,Mar 2018,8.70
Australian Capital Territory,Apr 2018,9.82
Australian Capital Territory,May 2018,7.79
Australian Capital Territory,Jun 2018,7.47
Australian Capital Territory,Jul 2018,12.07
Australian Capital Territory,Aug 2018,6.49
Australian Capital Territory,Sep 2018,7.20
Australian Capital Territory,Oct 2018,7.98
Australian Capital Territory,Nov 2018,9.12
Australian Capital Territory,Dec 2018,11.23
Australian Capital Territory,Jan 2019,8.03
Australian Capital Territory,Feb 2019,14.42
Australian Capital Territory,Mar 2019,8.28
Australian Capital Territory,Apr 2019,7.22
Australian Capital Territory,May 2019,6.14
Australian Capital Territory,Jun 2019,6.96
Australian Capital Territory,Jul 2019,11.13
Australian Capital Territory,Aug 2019,8.00
Australian Capital Territory,Sep 2019,8.46
Australian Capital Territory,Oct 2019,8.11
Australian Capital Territory,Nov 2019,9.52
Australian Capital Territory,Dec 2019,12.92
Australian Capital Territory,Jan 2020,7.02
Australian Capital Territory,Feb 2020,9.08
Australian Capital Territory,Mar 2020,4.70
Australian Capital Territory,Apr 2020,0.06
Australian Capital Territory,May 2020,0.06
Australian Capital Territory,Jun 2020,0.12
Australian Capital Territory,Jul 2020,0.08
Australian Capital Territory,Aug 2020,0.06
Australian Capital Territory,Sep 2020,0.09
Australian Capital Territory,Oct 2020,0.08
Australian Capital Territory,Nov 2020,0.11
Australian Capital Territory,Dec 2020,0.14
Australian Capital Territory,Jan 2021,0.18
Australian Capital Territory,Feb 2021,0.10
Australian Capital Territory,Mar 2021,0.08
Australian Capital Territory,Apr 2021,0.17
Australian Capital Territory,May 2021,0.32
Australian Capital Territory,Jun 2021,0.44
Australian Capital Territory,Jul 2021,0.20
Australian Capital Territory,Aug 2021,0.11
Australian Capital Territory,Sep 2021,0.09
Australian Capital Territory,Oct 2021,0.06
Australian Capital Territory,Nov 2021,0.46
Australian Capital Territory,Dec 2021,1.68
Australian Capital Territory,Jan 2022,1.48
Australian Capital Territory,Feb 2022,2.15
Australian Capital Territory,Mar 2022,2.99
Australian Capital Territory,Apr 2022,3.34
Australian Capital Territory,May 2022,3.14
Australian Capital Territory,Jun 2022,3.69
Australian Capital Territory,Jul 2022,5.60
Australian Capital Territory,Aug 2022,4.46
Australian Capital Territory,Sep 2022,5.43
Australian Capital Territory,Oct 2022,5.30
Australian Capital Territory,Nov 2022,6.91
Australian Capital Territory,Dec 2022,9.08
