State,Year,Visitor Arrival
Australian Capital Territory,2015,73.53
Australian Capital Territory,2016,78.25
Australian Capital Territory,2017,93.53
Australian Capital Territory,2018,109.76
Australian Capital Territory,2019,109.19
Australian Capital Territory,2020,21.60
Australian Capital Territory,2021,3.89
Australian Capital Territory,2022,53.37
Australian Capital Territory,2023,93.88
Australian Capital Territory,2024,57.24
New South Wales,2015,2784.93
New South Wales,2016,3119.29
New South Wales,2017,3383.06
New South Wales,2018,3473.13
New South Wales,2019,3482.84
New South Wales,2020,669.31
New South Wales,2021,110.82
New South Wales,2022,1311.31
New South Wales,2023,2760.62
New South Wales,2024,1767.83
Northern Territory,2015,89.05
Northern Territory,2016,83.53
Northern Territory,2017,88.37
Northern Territory,2018,72.32
Northern Territory,2019,76.87
Northern Territory,2020,10.89
Northern Territory,2021,3.41
Northern Territory,2022,27.98
Northern Territory,2023,46.02
Northern Territory,2024,29.99
Queensland,2015,1664.22
Queensland,2016,1826.18
Queensland,2017,1888.15
Queensland,2018,2013.01
Queensland,2019,2031.68
Queensland,2020,350.26
Queensland,2021,47.23
Queensland,2022,775.90
Queensland,2023,1465.57
Queensland,2024,952.15
South Australia,2015,210.73
South Australia,2016,217.19
South Australia,2017,247.21
South Australia,2018,260.23
South Australia,2019,276.13
South Australia,2020,59.11
South Australia,2021,6.21
South Australia,2022,127.49
South Australia,2023,221.96
South Australia,2024,132.52
Tasmania,2015,52.58
Tasmania,2016,60.52
Tasmania,2017,76.27
Tasmania,2018,88.58
Tasmania,2019,95.06
Tasmania,2020,24.63
Tasmania,2021,4.10
Tasmania,2022,41.85
Tasmania,2023,72.02
Tasmania,2024,43.68
Victoria,2015,1810.82
Victoria,2016,2040.12
Victoria,2017,2184.55
Victoria,2018,2378.94
Victoria,2019,2509.73
Victoria,2020,503.61
Victoria,2021,55.46
Victoria,2022,974.02
Victoria,2023,1841.75
Victoria,2024,1229.47
Western Australia,2015,763.84
Western Australia,2016,844.15
Western Australia,2017,853.76
Western Australia,2018,849.09
Western Australia,2019,884.07
Western Australia,2020,188.13
Western Australia,2021,15.07
Western Australia,2022,381.94
Western Australia,2023,684.93
Western Australia,2024,450.04
