State,Year,TemporaryStudentVisaTYpe,Value
Australian Capital Territory,2005,Higher Education,2920
Australian Capital Territory,2005,Vocational Educ. & Training,400
Australian Capital Territory,2005,Schools,690
Australian Capital Territory,2005,Independent ELICOS(f),110
Australian Capital Territory,2005,Postgraduate Research,980
Australian Capital Territory,2005,Other Students,950
Australian Capital Territory,2006,Higher Education,3190
Australian Capital Territory,2006,Vocational Educ. & Training,310
Australian Capital Territory,2006,Schools,690
Australian Capital Territory,2006,Independent ELICOS(f),150
Australian Capital Territory,2006,Postgraduate Research,660
Australian Capital Territory,2006,Other Students,1040
Australian Capital Territory,2007,Higher Education,3720
Australian Capital Territory,2007,Vocational Educ. & Training,520
Australian Capital Territory,2007,Schools,900
Australian Capital Territory,2007,Independent ELICOS(f),260
Australian Capital Territory,2007,Postgraduate Research,700
Australian Capital Territory,2007,Other Students,1280
Australian Capital Territory,2008,Higher Education,4810
Australian Capital Territory,2008,Vocational Educ. & Training,630
Australian Capital Territory,2008,Schools,760
Australian Capital Territory,2008,Independent ELICOS(f),230
Australian Capital Territory,2008,Postgraduate Research,630
Australian Capital Territory,2008,Other Students,1400
Australian Capital Territory,2009,Higher Education,6330
Australian Capital Territory,2009,Vocational Educ. & Training,950
Australian Capital Territory,2009,Schools,680
Australian Capital Territory,2009,Independent ELICOS(f),250
Australian Capital Territory,2009,Postgraduate Research,900
Australian Capital Territory,2009,Other Students,1260
Australian Capital Territory,2010,Higher Education,6940
Australian Capital Territory,2010,Vocational Educ. & Training,810
Australian Capital Territory,2010,Schools,780
Australian Capital Territory,2010,Independent ELICOS(f),290
Australian Capital Territory,2010,Postgraduate Research,1070
Australian Capital Territory,2010,Other Students,1420
Australian Capital Territory,2011,Higher Education,6930
Australian Capital Territory,2011,Vocational Educ. & Training,700
Australian Capital Territory,2011,Schools,650
Australian Capital Territory,2011,Independent ELICOS(f),250
Australian Capital Territory,2011,Postgraduate Research,1240
Australian Capital Territory,2011,Other Students,1270
Australian Capital Territory,2012,Higher Education,8070
Australian Capital Territory,2012,Vocational Educ. & Training,730
Australian Capital Territory,2012,Schools,710
Australian Capital Territory,2012,Independent ELICOS(f),260
Australian Capital Territory,2012,Postgraduate Research,1310
Australian Capital Territory,2012,Other Students,1520
Australian Capital Territory,2013,Higher Education,7870
Australian Capital Territory,2013,Vocational Educ. & Training,580
Australian Capital Territory,2013,Schools,670
Australian Capital Territory,2013,Independent ELICOS(f),170
Australian Capital Territory,2013,Postgraduate Research,1500
Australian Capital Territory,2013,Other Students,1890
Australian Capital Territory,2014,Higher Education,8200
Australian Capital Territory,2014,Vocational Educ. & Training,690
Australian Capital Territory,2014,Schools,760
Australian Capital Territory,2014,Independent ELICOS(f),140
Australian Capital Territory,2014,Postgraduate Research,1430
Australian Capital Territory,2014,Other Students,1820
Australian Capital Territory,2015,Higher Education,9440
Australian Capital Territory,2015,Vocational Educ. & Training,640
Australian Capital Territory,2015,Schools,830
Australian Capital Territory,2015,Independent ELICOS(f),200
Australian Capital Territory,2015,Postgraduate Research,1320
Australian Capital Territory,2015,Other Students,2140
Australian Capital Territory,2016,Higher Education,11260
Australian Capital Territory,2016,Vocational Educ. & Training,760
Australian Capital Territory,2016,Schools,890
Australian Capital Territory,2016,Independent ELICOS(f),210
Australian Capital Territory,2016,Postgraduate Research,1270
Australian Capital Territory,2016,Other Students,1320
Australian Capital Territory,2017,Higher Education,14840
Australian Capital Territory,2017,Vocational Educ. & Training,970
Australian Capital Territory,2017,Schools,1100
Australian Capital Territory,2017,Independent ELICOS(f),140
Australian Capital Territory,2017,Postgraduate Research,1430
Australian Capital Territory,2017,Other Students,1950
Australian Capital Territory,2018,Higher Education,18120
Australian Capital Territory,2018,Vocational Educ. & Training,1120
Australian Capital Territory,2018,Schools,1320
Australian Capital Territory,2018,Independent ELICOS(f),280
Australian Capital Territory,2018,Postgraduate Research,1770
Australian Capital Territory,2018,Other Students,1930
Australian Capital Territory,2019,Higher Education,17290
Australian Capital Territory,2019,Vocational Educ. & Training,1340
Australian Capital Territory,2019,Schools,1000
Australian Capital Territory,2019,Independent ELICOS(f),170
Australian Capital Territory,2019,Postgraduate Research,1780
Australian Capital Territory,2019,Other Students,2020
Australian Capital Territory,2020,Higher Education,4850
Australian Capital Territory,2020,Vocational Educ. & Training,490
Australian Capital Territory,2020,Schools,240
Australian Capital Territory,2020,Independent ELICOS(f),60
Australian Capital Territory,2020,Postgraduate Research,550
Australian Capital Territory,2020,Other Students,680
Australian Capital Territory,2021,Higher Education,630
Australian Capital Territory,2021,Vocational Educ. & Training,130
Australian Capital Territory,2021,Schools,10
Australian Capital Territory,2021,Independent ELICOS(f),10
Australian Capital Territory,2021,Postgraduate Research,120
Australian Capital Territory,2021,Other Students,220
Australian Capital Territory,2022,Higher Education,6850
Australian Capital Territory,2022,Vocational Educ. & Training,1200
Australian Capital Territory,2022,Schools,150
Australian Capital Territory,2022,Independent ELICOS(f),130
Australian Capital Territory,2022,Postgraduate Research,1030
Australian Capital Territory,2022,Other Students,900
Australian Capital Territory,2023,Higher Education,14070
Australian Capital Territory,2023,Vocational Educ. & Training,1430
Australian Capital Territory,2023,Schools,240
Australian Capital Territory,2023,Independent ELICOS(f),270
Australian Capital Territory,2023,Postgraduate Research,1530
Australian Capital Territory,2023,Other Students,1350
Australian Capital Territory,2024,Higher Education,12570
Australian Capital Territory,2024,Vocational Educ. & Training,700
Australian Capital Territory,2024,Schools,320
Australian Capital Territory,2024,Independent ELICOS(f),70
Australian Capital Territory,2024,Postgraduate Research,1080
Australian Capital Territory,2024,Other Students,1160
New South Wales,2005,Higher Education,52000
New South Wales,2005,Vocational Educ. & Training,14250
New South Wales,2005,Schools,11530
New South Wales,2005,Independent ELICOS(f),9480
New South Wales,2005,Postgraduate Research,7840
New South Wales,2005,Other Students,11230
New South Wales,2006,Higher Education,60980
New South Wales,2006,Vocational Educ. & Training,17440
New South Wales,2006,Schools,11500
New South Wales,2006,Independent ELICOS(f),11620
New South Wales,2006,Postgraduate Research,3810
New South Wales,2006,Other Students,11080
New South Wales,2007,Higher Education,67900
New South Wales,2007,Vocational Educ. & Training,26390
New South Wales,2007,Schools,13360
New South Wales,2007,Independent ELICOS(f),11990
New South Wales,2007,Postgraduate Research,3600
New South Wales,2007,Other Students,10750
New South Wales,2008,Higher Education,78430
New South Wales,2008,Vocational Educ. & Training,36690
New South Wales,2008,Schools,12470
New South Wales,2008,Independent ELICOS(f),13340
New South Wales,2008,Postgraduate Research,4210
New South Wales,2008,Other Students,11260
New South Wales,2009,Higher Education,86580
New South Wales,2009,Vocational Educ. & Training,41760
New South Wales,2009,Schools,12080
New South Wales,2009,Independent ELICOS(f),14620
New South Wales,2009,Postgraduate Research,4960
New South Wales,2009,Other Students,11620
New South Wales,2010,Higher Education,90160
New South Wales,2010,Vocational Educ. & Training,32510
New South Wales,2010,Schools,10250
New South Wales,2010,Independent ELICOS(f),11940
New South Wales,2010,Postgraduate Research,5880
New South Wales,2010,Other Students,10940
New South Wales,2011,Higher Education,88360
New South Wales,2011,Vocational Educ. & Training,29350
New South Wales,2011,Schools,9680
New South Wales,2011,Independent ELICOS(f),10480
New South Wales,2011,Postgraduate Research,6870
New South Wales,2011,Other Students,10590
New South Wales,2012,Higher Education,88990
New South Wales,2012,Vocational Educ. & Training,25690
New South Wales,2012,Schools,8610
New South Wales,2012,Independent ELICOS(f),9850
New South Wales,2012,Postgraduate Research,7140
New South Wales,2012,Other Students,10540
New South Wales,2013,Higher Education,98780
New South Wales,2013,Vocational Educ. & Training,23950
New South Wales,2013,Schools,7550
New South Wales,2013,Independent ELICOS(f),10150
New South Wales,2013,Postgraduate Research,7840
New South Wales,2013,Other Students,12170
New South Wales,2014,Higher Education,107490
New South Wales,2014,Vocational Educ. & Training,26040
New South Wales,2014,Schools,7800
New South Wales,2014,Independent ELICOS(f),10880
New South Wales,2014,Postgraduate Research,8090
New South Wales,2014,Other Students,13530
New South Wales,2015,Higher Education,117950
New South Wales,2015,Vocational Educ. & Training,31470
New South Wales,2015,Schools,9030
New South Wales,2015,Independent ELICOS(f),12420
New South Wales,2015,Postgraduate Research,8470
New South Wales,2015,Other Students,13250
New South Wales,2016,Higher Education,138110
New South Wales,2016,Vocational Educ. & Training,39920
New South Wales,2016,Schools,10270
New South Wales,2016,Independent ELICOS(f),14800
New South Wales,2016,Postgraduate Research,9170
New South Wales,2016,Other Students,14120
New South Wales,2017,Higher Education,164350
New South Wales,2017,Vocational Educ. & Training,46160
New South Wales,2017,Schools,11270
New South Wales,2017,Independent ELICOS(f),17300
New South Wales,2017,Postgraduate Research,9580
New South Wales,2017,Other Students,15730
New South Wales,2018,Higher Education,183750
New South Wales,2018,Vocational Educ. & Training,58000
New South Wales,2018,Schools,10560
New South Wales,2018,Independent ELICOS(f),16110
New South Wales,2018,Postgraduate Research,10540
New South Wales,2018,Other Students,15690
New South Wales,2019,Higher Education,190590
New South Wales,2019,Vocational Educ. & Training,57980
New South Wales,2019,Schools,9790
New South Wales,2019,Independent ELICOS(f),15660
New South Wales,2019,Postgraduate Research,10910
New South Wales,2019,Other Students,15590
New South Wales,2020,Higher Education,58850
